participant_id,trial,choice,reward_H,reward_L,alpha_true,theta_true
1,1,1,1,0,0.732186814566789,7.316635319256157
1,2,1,0,1,0.732186814566789,7.316635319256157
1,3,0,1,0,0.732186814566789,7.316635319256157
1,4,1,1,1,0.732186814566789,7.316635319256157
1,5,1,1,0,0.732186814566789,7.316635319256157
1,6,1,0,0,0.732186814566789,7.316635319256157
1,7,1,1,1,0.732186814566789,7.316635319256157
1,8,0,0,0,0.732186814566789,7.316635319256157
1,9,1,1,0,0.732186814566789,7.316635319256157
1,10,1,0,1,0.732186814566789,7.316635319256157
1,11,0,1,0,0.732186814566789,7.316635319256157
1,12,1,1,0,0.732186814566789,7.316635319256157
1,13,1,1,0,0.732186814566789,7.316635319256157
1,14,1,0,0,0.732186814566789,7.316635319256157
1,15,1,0,0,0.732186814566789,7.316635319256157
1,16,1,1,0,0.732186814566789,7.316635319256157
1,17,1,1,1,0.732186814566789,7.316635319256157
1,18,1,0,1,0.732186814566789,7.316635319256157
1,19,0,1,0,0.732186814566789,7.316635319256157
1,20,1,1,0,0.732186814566789,7.316635319256157
1,21,1,0,0,0.732186814566789,7.316635319256157
1,22,1,1,0,0.732186814566789,7.316635319256157
1,23,1,1,0,0.732186814566789,7.316635319256157
1,24,1,0,0,0.732186814566789,7.316635319256157
1,25,1,1,0,0.732186814566789,7.316635319256157
1,26,1,1,1,0.732186814566789,7.316635319256157
1,27,1,1,1,0.732186814566789,7.316635319256157
1,28,1,1,0,0.732186814566789,7.316635319256157
1,29,1,1,0,0.732186814566789,7.316635319256157
1,30,1,1,0,0.732186814566789,7.316635319256157
1,31,1,1,0,0.732186814566789,7.316635319256157
1,32,1,1,0,0.732186814566789,7.316635319256157
1,33,1,0,1,0.732186814566789,7.316635319256157
1,34,0,1,1,0.732186814566789,7.316635319256157
1,35,1,0,0,0.732186814566789,7.316635319256157
1,36,0,1,1,0.732186814566789,7.316635319256157
1,37,0,1,0,0.732186814566789,7.316635319256157
1,38,1,1,1,0.732186814566789,7.316635319256157
1,39,1,0,0,0.732186814566789,7.316635319256157
1,40,0,1,0,0.732186814566789,7.316635319256157
1,41,1,1,0,0.732186814566789,7.316635319256157
1,42,1,1,0,0.732186814566789,7.316635319256157
1,43,1,1,0,0.732186814566789,7.316635319256157
1,44,1,1,0,0.732186814566789,7.316635319256157
1,45,1,1,1,0.732186814566789,7.316635319256157
1,46,1,0,0,0.732186814566789,7.316635319256157
1,47,1,1,1,0.732186814566789,7.316635319256157
1,48,0,1,0,0.732186814566789,7.316635319256157
1,49,1,1,0,0.732186814566789,7.316635319256157
1,50,1,0,1,0.732186814566789,7.316635319256157
1,51,0,1,0,0.732186814566789,7.316635319256157
1,52,1,1,0,0.732186814566789,7.316635319256157
1,53,1,0,0,0.732186814566789,7.316635319256157
1,54,0,1,0,0.732186814566789,7.316635319256157
1,55,1,1,1,0.732186814566789,7.316635319256157
1,56,1,1,1,0.732186814566789,7.316635319256157
1,57,1,1,0,0.732186814566789,7.316635319256157
1,58,1,1,0,0.732186814566789,7.316635319256157
1,59,1,0,1,0.732186814566789,7.316635319256157
1,60,0,0,1,0.732186814566789,7.316635319256157
1,61,0,1,1,0.732186814566789,7.316635319256157
1,62,0,1,0,0.732186814566789,7.316635319256157
